Ireland	183/7	43.5	2	won	/ci/engine/match/1150147.html	13
Afghanistan	227/9	50.0	1	won	/ci/engine/match/1150146.html	20
Ireland	198	48.3	2	lost	/ci/engine/match/1150146.html	14
Sri Lanka	299/8	50.0	1	won	/ci/engine/match/1142588.html	32
South Africa	121	24.4	2	lost	/ci/engine/match/1142588.html	17
Sri Lanka	306/7	39.0	1	won	/ci/engine/match/1142587.html	39
South Africa	187/9	21.0	2	lost	/ci/engine/match/1142587.html	24
South Africa	363/7	50.0	1	won	/ci/engine/match/1142586.html	41
Sri Lanka	285	45.2	2	lost	/ci/engine/match/1142586.html	35
Nepal	216	48.5	1	won	/ci/engine/match/1151835.html	26
Netherlands	215	50.0	2	lost	/ci/engine/match/1151835.html	16
Sri Lanka	244/8	50.0	1	lost	/ci/engine/match/1142585.html	25
South Africa	246/6	42.5	2	won	/ci/engine/match/1142585.html	29
Netherlands	189	47.4	1	won	/ci/engine/match/1151834.html	16
Nepal	134	41.5	2	lost	/ci/engine/match/1151834.html	15
Sri Lanka	193	34.3	1	lost	/ci/engine/match/1142584.html	23
South Africa	196/5	31.0	2	won	/ci/engine/match/1142584.html	30
Bangladesh	301/6	50.0	1	won	/ci/engine/match/1146722.html	30
West Indies	283/6	50.0	2	lost	/ci/engine/match/1146722.html	28
West Indies	271	49.3	1	won	/ci/engine/match/1146721.html	26
Bangladesh	268/6	50.0	2	lost	/ci/engine/match/1146721.html	24
Bangladesh	279/4	50.0	1	won	/ci/engine/match/1146720.html	25
West Indies	231/9	50.0	2	lost	/ci/engine/match/1146720.html	21
Pakistan	364/4	50.0	1	won	/ci/engine/match/1142924.html	35
Zimbabwe	233/4	50.0	2	lost	/ci/engine/match/1142924.html	22
Pakistan	399/1	50.0	1	won	/ci/engine/match/1142923.html	45
Zimbabwe	155	42.4	2	lost	/ci/engine/match/1142923.html	12
Zimbabwe	67	25.1	1	lost	/ci/engine/match/1142922.html	8
